Абразивный инструмент ,Корщетки ,Круг торцовый Power-Wheel (Clean & Strip),22.50,1 шт.,"Специальный из нетканого материала с SiC зерном для очистки поверхностей и удаления следов ""побежалости"". Не засоряется за счет открытого строения круги. Безопасен в сравнении с корд щетками.",http://st5.stpulscen.ru/images/product/057/446/263_medium.jpg, 
Алмазный инструмент ,Карандаш алмазный ,Алмазный правящий карандаш 3908-0075,73.38,1 шт.,"Карандаш правящий из природного сырья с цепочным расположением кристаллов. Количество карат - 1,0

Специально созданы для эффективной правки различного рода шлифовальных кругов, а также - для отдельных случаев шлифования зубцов и резьбы. Изготовлены с применением специального рода синтетических алмазов, обладают высокой износоусточивостью. Оптимально подходят для финального шлифования.
Алмазные карандаши для правки абразивных алмазных шлифовальных кругов применяют с целью обеспечения высокой точности рабочей поверхности (или рабочих поверхностей) круга. Алмазный карандаш позволяет сравнительно просто осуществить Автоматическую правку, которая часто предусматривается в налаженных станках и линиях для периодического восстановления режущей способности и формы шлифовальных инструментов. Высокая стойкость алмазных карандашей позволяет получать идентичность профиля кругов при большом числе правок и тем самым обеспечивать однородность изделий, обработанных абразивами.
Главное назначение такого инструмента, как алмазный карандаш - это правка шлифовальных кругов. Правка производится как на операциях наружного, внутреннего, круглого, бесцентрового и плоского шлифования, так и на отдельных операциях резьбошлифования и зубошлифования",http://st21.stpulscen.ru/images/product/091/408/825_medium.jpg, 
Алмазный инструмент ,Карандаш алмазный ,Алмазный правящий карандаш 3908-0077,72.61,1 шт.,"Карандаш правящий из природного сырья с послойным расположением кристаллов. Количество карат - 1,0

Специально созданы для эффективной правки различного рода шлифовальных кругов, а также - для отдельных случаев шлифования зубцов и резьбы. Изготовлены с применением специального рода синтетических алмазов, обладают высокой износоусточивостью. Оптимально подходят для финального шлифования.
Алмазные карандаши для правки абразивных алмазных шлифовальных кругов применяют с целью обеспечения высокой точности рабочей поверхности (или рабочих поверхностей) круга. Алмазный карандаш позволяет сравнительно просто осуществить Автоматическую правку, которая часто предусматривается в налаженных станках и линиях для периодического восстановления режущей способности и формы шлифовальных инструментов. Высокая стойкость алмазных карандашей позволяет получать идентичность профиля кругов при большом числе правок и тем самым обеспечивать однородность изделий, обработанных абразивами.
Главное назначение такого инструмента, как алмазный карандаш - это правка шлифовальных кругов. Правка производится как на операциях наружного, внутреннего, круглого, бесцентрового и плоского шлифования, так и на отдельных операциях резьбошлифования и зубошлифования",http://st21.stpulscen.ru/images/product/091/408/869_medium.jpg, 
Алмазный инструмент ,Карандаш алмазный ,Алмазный правящий карандаш 3908-0078,18.34,1 шт.,"Карандаш правящий из природного сырья с неориентированным расположением кристаллов. Количество карат - 1,0

Специально созданы для эффективной правки различного рода шлифовальных кругов, а также - для отдельных случаев шлифования зубцов и резьбы. Изготовлены с применением специального рода синтетических алмазов, обладают высокой износоусточивостью. Оптимально подходят для финального шлифования.
Алмазные карандаши для правки абразивных алмазных шлифовальных кругов применяют с целью обеспечения высокой точности рабочей поверхности (или рабочих поверхностей) круга. Алмазный карандаш позволяет сравнительно просто осуществить Автоматическую правку, которая часто предусматривается в налаженных станках и линиях для периодического восстановления режущей способности и формы шлифовальных инструментов. Высокая стойкость алмазных карандашей позволяет получать идентичность профиля кругов при большом числе правок и тем самым обеспечивать однородность изделий, обработанных абразивами.
Главное назначение такого инструмента, как алмазный карандаш - это правка шлифовальных кругов. Правка производится как на операциях наружного, внутреннего, круглого, бесцентрового и плоского шлифования, так и на отдельных операциях резьбошлифования и зубошлифования",http://st21.stpulscen.ru/images/product/091/408/852_medium.jpg, 
Алмазный инструмент ,Карандаш алмазный ,Алмазный правящий карандаш 3908-0079,20.18,1 шт.,"Карандаш правящий из природного сырья с неориентированным расположением кристаллов. Количество карат - 1,0

Специально созданы для эффективной правки различного рода шлифовальных кругов, а также - для отдельных случаев шлифования зубцов и резьбы. Изготовлены с применением специального рода синтетических алмазов, обладают высокой износоусточивостью. Оптимально подходят для финального шлифования.
Алмазные карандаши для правки абразивных алмазных шлифовальных кругов применяют с целью обеспечения высокой точности рабочей поверхности (или рабочих поверхностей) круга. Алмазный карандаш позволяет сравнительно просто осуществить Автоматическую правку, которая часто предусматривается в налаженных станках и линиях для периодического восстановления режущей способности и формы шлифовальных инструментов. Высокая стойкость алмазных карандашей позволяет получать идентичность профиля кругов при большом числе правок и тем самым обеспечивать однородность изделий, обработанных абразивами.
Главное назначение такого инструмента, как алмазный карандаш - это правка шлифовальных кругов. Правка производится как на операциях наружного, внутреннего, круглого, бесцентрового и плоского шлифования, так и на отдельных операциях резьбошлифования и зубошлифования",http://st21.stpulscen.ru/images/product/091/408/849_medium.jpg, 
Алмазный инструмент ,Карандаш алмазный ,Алмазный правящий карандаш 3908-0081,23.39,1 шт.,"Карандаш правящий из природного сырья с послойным расположением кристаллов. Количество карат - 1,0

Специально созданы для эффективной правки различного рода шлифовальных кругов, а также - для отдельных случаев шлифования зубцов и резьбы. Изготовлены с применением специального рода синтетических алмазов, обладают высокой износоусточивостью. Оптимально подходят для финального шлифования.
Алмазные карандаши для правки абразивных алмазных шлифовальных кругов применяют с целью обеспечения высокой точности рабочей поверхности (или рабочих поверхностей) круга. Алмазный карандаш позволяет сравнительно просто осуществить Автоматическую правку, которая часто предусматривается в налаженных станках и линиях для периодического восстановления режущей способности и формы шлифовальных инструментов. Высокая стойкость алмазных карандашей позволяет получать идентичность профиля кругов при большом числе правок и тем самым обеспечивать однородность изделий, обработанных абразивами.
Главное назначение такого инструмента, как алмазный карандаш - это правка шлифовальных кругов. Правка производится как на операциях наружного, внутреннего, круглого, бесцентрового и плоского шлифования, так и на отдельных операциях резьбошлифования и зубошлифования",http://st21.stpulscen.ru/images/product/091/408/871_medium.jpg, 
Алмазный инструмент ,Карандаш алмазный ,Алмазный правящий карандаш 3908-0082,31,1 шт.,"Карандаш правящий из природного сырья с послойным расположением кристаллов. Количество карат - 1,0

Специально созданы для эффективной правки различного рода шлифовальных кругов, а также - для отдельных случаев шлифования зубцов и резьбы. Изготовлены с применением специального рода синтетических алмазов, обладают высокой износоусточивостью. Оптимально подходят для финального шлифования.
Алмазные карандаши для правки абразивных алмазных шлифовальных кругов применяют с целью обеспечения высокой точности рабочей поверхности (или рабочих поверхностей) круга. Алмазный карандаш позволяет сравнительно просто осуществить Автоматическую правку, которая часто предусматривается в налаженных станках и линиях для периодического восстановления режущей способности и формы шлифовальных инструментов. Высокая стойкость алмазных карандашей позволяет получать идентичность профиля кругов при большом числе правок и тем самым обеспечивать однородность изделий, обработанных абразивами.
Главное назначение такого инструмента, как алмазный карандаш - это правка шлифовальных кругов. Правка производится как на операциях наружного, внутреннего, круглого, бесцентрового и плоского шлифования, так и на отдельных операциях резьбошлифования и зубошлифования",http://st21.stpulscen.ru/images/product/091/408/874_medium.jpg, 
Алмазный инструмент ,Карандаш алмазный ,Алмазный правящий карандаш 3908-0083,63.44,1 шт.,"Карандаш правящий из природного сырья с послойным расположением кристаллов. Количество карат - 1,0

Специально созданы для эффективной правки различного рода шлифовальных кругов, а также - для отдельных случаев шлифования зубцов и резьбы. Изготовлены с применением специального рода синтетических алмазов, обладают высокой износоусточивостью. Оптимально подходят для финального шлифования.
Алмазные карандаши для правки абразивных алмазных шлифовальных кругов применяют с целью обеспечения высокой точности рабочей поверхности (или рабочих поверхностей) круга. Алмазный карандаш позволяет сравнительно просто осуществить Автоматическую правку, которая часто предусматривается в налаженных станках и линиях для периодического восстановления режущей способности и формы шлифовальных инструментов. Высокая стойкость алмазных карандашей позволяет получать идентичность профиля кругов при большом числе правок и тем самым обеспечивать однородность изделий, обработанных абразивами.
Главное назначение такого инструмента, как алмазный карандаш - это правка шлифовальных кругов. Правка производится как на операциях наружного, внутреннего, круглого, бесцентрового и плоского шлифования, так и на отдельных операциях резьбошлифования и зубошлифования",http://st21.stpulscen.ru/images/product/091/408/894_medium.jpg, 
Алмазный инструмент ,Карандаш алмазный ,Алмазный правящий карандаш 3908-0084,96.08,1 шт.,"Карандаш правящий из природного сырья с послойным расположением кристаллов. Количество карат - 2,0

Специально созданы для эффективной правки различного рода шлифовальных кругов, а также - для отдельных случаев шлифования зубцов и резьбы. Изготовлены с применением специального рода синтетических алмазов, обладают высокой износоусточивостью. Оптимально подходят для финального шлифования.
Алмазные карандаши для правки абразивных алмазных шлифовальных кругов применяют с целью обеспечения высокой точности рабочей поверхности (или рабочих поверхностей) круга. Алмазный карандаш позволяет сравнительно просто осуществить Автоматическую правку, которая часто предусматривается в налаженных станках и линиях для периодического восстановления режущей способности и формы шлифовальных инструментов. Высокая стойкость алмазных карандашей позволяет получать идентичность профиля кругов при большом числе правок и тем самым обеспечивать однородность изделий, обработанных абразивами.
Главное назначение такого инструмента, как алмазный карандаш - это правка шлифовальных кругов. Правка производится как на операциях наружного, внутреннего, круглого, бесцентрового и плоского шлифования, так и на отдельных операциях резьбошлифования и зубошлифования",http://st21.stpulscen.ru/images/product/091/408/875_medium.jpg, 
Алмазный инструмент ,Карандаш алмазный ,Алмазный правящий карандаш 3908-0084С,24.17,1 шт.,"Карандаш правящий из синтетического сырья с неориентированным расположением кристаллов. Количество карат - 2,0

Специально созданы для эффективной правки различного рода шлифовальных кругов, а также - для отдельных случаев шлифования зубцов и резьбы. Изготовлены с применением специального рода синтетических алмазов, обладают высокой износоусточивостью. Оптимально подходят для финального шлифования.
Алмазные карандаши для правки абразивных алмазных шлифовальных кругов применяют с целью обеспечения высокой точности рабочей поверхности (или рабочих поверхностей) круга. Алмазный карандаш позволяет сравнительно просто осуществить Автоматическую правку, которая часто предусматривается в налаженных станках и линиях для периодического восстановления режущей способности и формы шлифовальных инструментов. Высокая стойкость алмазных карандашей позволяет получать идентичность профиля кругов при большом числе правок и тем самым обеспечивать однородность изделий, обработанных абразивами.
Главное назначение такого инструмента, как алмазный карандаш - это правка шлифовальных кругов. Правка производится как на операциях наружного, внутреннего, круглого, бесцентрового и плоского шлифования, так и на отдельных операциях резьбошлифования и зубошлифования",http://st21.stpulscen.ru/images/product/091/408/890_medium.jpg, 
Алмазный инструмент ,Карандаш алмазный ,Алмазный правящий карандаш 3908-0085,71.47,1 шт.,"Карандаш правящий из природного сырья с послойным расположением кристаллов. Количество карат - 1,0

Специально созданы для эффективной правки различного рода шлифовальных кругов, а также - для отдельных случаев шлифования зубцов и резьбы. Изготовлены с применением специального рода синтетических алмазов, обладают высокой износоусточивостью. Оптимально подходят для финального шлифования.
Алмазные карандаши для правки абразивных алмазных шлифовальных кругов применяют с целью обеспечения высокой точности рабочей поверхности (или рабочих поверхностей) круга. Алмазный карандаш позволяет сравнительно просто осуществить Автоматическую правку, которая часто предусматривается в налаженных станках и линиях для периодического восстановления режущей способности и формы шлифовальных инструментов. Высокая стойкость алмазных карандашей позволяет получать идентичность профиля кругов при большом числе правок и тем самым обеспечивать однородность изделий, обработанных абразивами.
Главное назначение такого инструмента, как алмазный карандаш - это правка шлифовальных кругов. Правка производится как на операциях наружного, внутреннего, круглого, бесцентрового и плоского шлифования, так и на отдельных операциях резьбошлифования и зубошлифования",http://st21.stpulscen.ru/images/product/091/408/879_medium.jpg, 
Алмазный инструмент ,Карандаш алмазный ,Алмазный правящий карандаш 3908-0086,16.66,1 шт.,"Карандаш правящий из синтетического сырья с неориентированным расположением кристаллов. Количество карат - 2,0

Специально созданы для эффективной правки различного рода шлифовальных кругов, а также - для отдельных случаев шлифования зубцов и резьбы. Изготовлены с применением специального рода синтетических алмазов, обладают высокой износоусточивостью. Оптимально подходят для финального шлифования.
Алмазные карандаши для правки абразивных алмазных шлифовальных кругов применяют с целью обеспечения высокой точности рабочей поверхности (или рабочих поверхностей) круга. Алмазный карандаш позволяет сравнительно просто осуществить Автоматическую правку, которая часто предусматривается в налаженных станках и линиях для периодического восстановления режущей способности и формы шлифовальных инструментов. Высокая стойкость алмазных карандашей позволяет получать идентичность профиля кругов при большом числе правок и тем самым обеспечивать однородность изделий, обработанных абразивами.
Главное назначение такого инструмента, как алмазный карандаш - это правка шлифовальных кругов. Правка производится как на операциях наружного, внутреннего, круглого, бесцентрового и плоского шлифования, так и на отдельных операциях резьбошлифования и зубошлифования",http://st21.stpulscen.ru/images/product/091/408/881_medium.jpg, 
Алмазный инструмент ,Карандаш алмазный ,Алмазный правящий карандаш 3908-0087,19.50,1 шт.,"Карандаш правящий из синтетического сырья с неориентированным расположением кристаллов. Количество карат - 2,0

Специально созданы для эффективной правки различного рода шлифовальных кругов, а также - для отдельных случаев шлифования зубцов и резьбы. Изготовлены с применением специального рода синтетических алмазов, обладают высокой износоусточивостью. Оптимально подходят для финального шлифования.
Алмазные карандаши для правки абразивных алмазных шлифовальных кругов применяют с целью обеспечения высокой точности рабочей поверхности (или рабочих поверхностей) круга. Алмазный карандаш позволяет сравнительно просто осуществить Автоматическую правку, которая часто предусматривается в налаженных станках и линиях для периодического восстановления режущей способности и формы шлифовальных инструментов. Высокая стойкость алмазных карандашей позволяет получать идентичность профиля кругов при большом числе правок и тем самым обеспечивать однородность изделий, обработанных абразивами.
Главное назначение такого инструмента, как алмазный карандаш - это правка шлифовальных кругов. Правка производится как на операциях наружного, внутреннего, круглого, бесцентрового и плоского шлифования, так и на отдельных операциях резьбошлифования и зубошлифования",http://st21.stpulscen.ru/images/product/091/408/887_medium.jpg, 
Алмазный инструмент ,Карандаш алмазный ,Алмазный правящий карандаш 3908-0088,19.50,1 шт.,"Карандаш правящий из синтетического сырья с неориентированным расположением кристаллов. Количество карат - 2,0

Специально созданы для эффективной правки различного рода шлифовальных кругов, а также - для отдельных случаев шлифования зубцов и резьбы. Изготовлены с применением специального рода синтетических алмазов, обладают высокой износоусточивостью. Оптимально подходят для финального шлифования.
Алмазные карандаши для правки абразивных алмазных шлифовальных кругов применяют с целью обеспечения высокой точности рабочей поверхности (или рабочих поверхностей) круга. Алмазный карандаш позволяет сравнительно просто осуществить Автоматическую правку, которая часто предусматривается в налаженных станках и линиях для периодического восстановления режущей способности и формы шлифовальных инструментов. Высокая стойкость алмазных карандашей позволяет получать идентичность профиля кругов при большом числе правок и тем самым обеспечивать однородность изделий, обработанных абразивами.
Главное назначение такого инструмента, как алмазный карандаш - это правка шлифовальных кругов. Правка производится как на операциях наружного, внутреннего, круглого, бесцентрового и плоского шлифования, так и на отдельных операциях резьбошлифования и зубошлифования",http://st21.stpulscen.ru/images/product/091/408/888_medium.jpg, 
Алмазный инструмент ,Карандаш алмазный ,Алмазный правящий карандаш 3908-0089,70.99,1 шт.,"Алмазные правящие карандаши с алмазами, расположенными на сферической поверхности . Количество карат - 1,2",http://st21.stpulscen.ru/images/product/091/408/892_medium.jpg, 
Алмазный инструмент ,Карандаш алмазный ,Алмазный правящий карандаш 3908-0090,71.70,1 шт.,"Алмазные правящие карандаши с алмазами, расположенными на сферической поверхности . Количество карат - 1,5",http://st21.stpulscen.ru/images/product/091/408/898_medium.jpg, 
Алмазный инструмент ,Карандаш алмазный ,Алмазный правящий карандаш 3908-0091,17.50,1 шт.,"Карандаш правящий из синтетического сырья с неориентированным расположением кристаллов. Количество карат - 2,0

Специально созданы для эффективной правки различного рода шлифовальных кругов, а также - для отдельных случаев шлифования зубцов и резьбы. Изготовлены с применением специального рода синтетических алмазов, обладают высокой износоусточивостью. Оптимально подходят для финального шлифования.
Алмазные карандаши для правки абразивных алмазных шлифовальных кругов применяют с целью обеспечения высокой точности рабочей поверхности (или рабочих поверхностей) круга. Алмазный карандаш позволяет сравнительно просто осуществить Автоматическую правку, которая часто предусматривается в налаженных станках и линиях для периодического восстановления режущей способности и формы шлифовальных инструментов. Высокая стойкость алмазных карандашей позволяет получать идентичность профиля кругов при большом числе правок и тем самым обеспечивать однородность изделий, обработанных абразивами.
Главное назначение такого инструмента, как алмазный карандаш - это правка шлифовальных кругов. Правка производится как на операциях наружного, внутреннего, круглого, бесцентрового и плоского шлифования, так и на отдельных операциях резьбошлифования и зубошлифования",http://st21.stpulscen.ru/images/product/091/408/865_medium.jpg, 
Алмазный инструмент ,Карандаш алмазный ,Алмазный правящий карандаш 3908-0092,29.35,1 шт.,"Карандаш правящий из природного сырья с неориентированным расположением кристаллов. Количество карат - 2,5

Специально созданы для эффективной правки различного рода шлифовальных кругов, а также - для отдельных случаев шлифования зубцов и резьбы. Изготовлены с применением специального рода синтетических алмазов, обладают высокой износоусточивостью. Оптимально подходят для финального шлифования.
Алмазные карандаши для правки абразивных алмазных шлифовальных кругов применяют с целью обеспечения высокой точности рабочей поверхности (или рабочих поверхностей) круга. Алмазный карандаш позволяет сравнительно просто осуществить Автоматическую правку, которая часто предусматривается в налаженных станках и линиях для периодического восстановления режущей способности и формы шлифовальных инструментов. Высокая стойкость алмазных карандашей позволяет получать идентичность профиля кругов при большом числе правок и тем самым обеспечивать однородность изделий, обработанных абразивами.
Главное назначение такого инструмента, как алмазный карандаш - это правка шлифовальных кругов. Правка производится как на операциях наружного, внутреннего, круглого, бесцентрового и плоского шлифования, так и на отдельных операциях резьбошлифования и зубошлифования",http://st21.stpulscen.ru/images/product/091/408/858_medium.jpg, 
Алмазный инструмент ,Карандаш алмазный ,Алмазный правящий карандаш 3908-0093,15.50,1 шт.,"Карандаш правящий из синтетического сырья с неориентированным расположением кристаллов. Количество карат - 2,0

Специально созданы для эффективной правки различного рода шлифовальных кругов, а также - для отдельных случаев шлифования зубцов и резьбы. Изготовлены с применением специального рода синтетических алмазов, обладают высокой износоусточивостью. Оптимально подходят для финального шлифования.
Алмазные карандаши для правки абразивных алмазных шлифовальных кругов применяют с целью обеспечения высокой точности рабочей поверхности (или рабочих поверхностей) круга. Алмазный карандаш позволяет сравнительно просто осуществить Автоматическую правку, которая часто предусматривается в налаженных станках и линиях для периодического восстановления режущей способности и формы шлифовальных инструментов. Высокая стойкость алмазных карандашей позволяет получать идентичность профиля кругов при большом числе правок и тем самым обеспечивать однородность изделий, обработанных абразивами.
Главное назначение такого инструмента, как алмазный карандаш - это правка шлифовальных кругов. Правка производится как на операциях наружного, внутреннего, круглого, бесцентрового и плоского шлифования, так и на отдельных операциях резьбошлифования и зубошлифования",http://st21.stpulscen.ru/images/product/091/408/867_medium.jpg, 
Алмазный инструмент ,Карандаш алмазный ,"Алмазы в оправах 0,05-0,10 каррат (ГОСТ 22908-78)", ,1 шт.,"Алмазы в оправе (ГОСТ 22908-81) используют для правки шлифовальных кругов при шлифовании. Алмазы в оправе правят круги всех характеристик, которые используются в металлообработке при окончательном шлифовании. Алмазы в оправе изготавливаются с углом державки 90° (для правки кругов фасонного профиля) и 120° (для правки кругов прямого профиля), 1-е качество до 5-ти рабочих вершин и 2-е качество до 3-х рабочих вершин. 

Алмазы в оправе изготавливаются четырёх типов:
Алмазы в оправе: Тип 1 - цилиндрический
Алмазы в оправе: Тип 2 - цилиндрический с головкой
Алмазы в оправе: Тип 3 - конический
Алмазы в оправах: Тип 4 - резьбовые",http://st21.stpulscen.ru/images/product/091/408/925_medium.jpg, 
Алмазный инструмент ,Карандаш алмазный ,"Алмазы в оправах 0,11-0,20 каррат (ГОСТ 22908-78)", ,1 шт.,"Алмазы в оправе (ГОСТ 22908-81) используют для правки шлифовальных кругов при шлифовании. Алмазы в оправе правят круги всех характеристик, которые используются в металлообработке при окончательном шлифовании. Алмазы в оправе изготавливаются с углом державки 90° (для правки кругов фасонного профиля) и 120° (для правки кругов прямого профиля), 1-е качество до 5-ти рабочих вершин и 2-е качество до 3-х рабочих вершин. 

Алмазы в оправе изготавливаются четырёх типов:
Алмазы в оправе: Тип 1 - цилиндрический
Алмазы в оправе: Тип 2 - цилиндрический с головкой
Алмазы в оправе: Тип 3 - конический
Алмазы в оправах: Тип 4 - резьбовые",http://st21.stpulscen.ru/images/product/091/408/929_medium.jpg, 
Алмазный инструмент ,Карандаш алмазный ,"Алмазы в оправах 0,21-0,30 каррат (ГОСТ 22908-78)", ,1 шт.,"Алмазы в оправе (ГОСТ 22908-81) используют для правки шлифовальных кругов при шлифовании. Алмазы в оправе правят круги всех характеристик, которые используются в металлообработке при окончательном шлифовании. Алмазы в оправе изготавливаются с углом державки 90° (для правки кругов фасонного профиля) и 120° (для правки кругов прямого профиля), 1-е качество до 5-ти рабочих вершин и 2-е качество до 3-х рабочих вершин. 

Алмазы в оправе изготавливаются четырёх типов:
Алмазы в оправе: Тип 1 - цилиндрический
Алмазы в оправе: Тип 2 - цилиндрический с головкой
Алмазы в оправе: Тип 3 - конический
Алмазы в оправах: Тип 4 - резьбовые",http://st21.stpulscen.ru/images/product/091/408/932_medium.jpg, 
